year,total,income,growth
Mar-00,0.024,0.021,0.004
Jun-00,0.022,0.021,0.002
Sep-00,0.032,0.021,0.011
Dec-00,0.036,0.022,0.013
Mar-01,0.022,0.021,0.001
Jun-01,0.022,0.02,0.001
Sep-01,0.021,0.021,-0.001
Dec-01,0.025,0.022,0.003
Mar-02,0.022,0.022,0
Jun-02,0.022,0.022,0
Sep-02,0.021,0.022,-0.001
Dec-02,0.021,0.021,0
Mar-03,0.022,0.02,0.001
Jun-03,0.019,0.02,-0.001
Sep-03,0.02,0.021,-0.001
Dec-03,0.021,0.021,0.001
Mar-04,0.021,0.02,0.001
Jun-04,0.024,0.02,0.004
Sep-04,0.021,0.02,0.001
Dec-04,0.057,0.02,0.036
Mar-05,0.027,0.019,0.008
Jun-05,0.031,0.019,0.012
Sep-05,0.026,0.019,0.007
Dec-05,0.093,0.019,0.073
Mar-06,0.029,0.017,0.012
Jun-06,0.035,0.017,0.017
Sep-06,0.027,0.017,0.009
Dec-06,0.08,0.017,0.062
Mar-07,0.028,0.016,0.012
Jun-07,0.033,0.016,0.017
Sep-07,0.029,0.016,0.013
Dec-07,0.061,0.016,0.045
Mar-08,0.022,0.015,0.007
Jun-08,0.018,0.015,0.003
Sep-08,0.019,0.015,0.004
Dec-08,-0.021,0.015,-0.036
Mar-09,-0.001,0.016,-0.017
Jun-09,-0.007,0.017,-0.024
Sep-09,0.005,0.017,-0.012
Dec-09,-0.003,0.017,-0.02
Mar-10,0.013,0.017,-0.004
Jun-10,0.027,0.017,0.01
Sep-10,0.018,0.017,0.002
Dec-10,0.049,0.017,0.032
Mar-11,0.028,0.015,0.012
Jun-11,0.03,0.016,0.014
Sep-11,0.022,0.015,0.006
Dec-11,0.067,0.015,0.052
Mar-12,0.026,0.015,0.011
Jun-12,0.025,0.014,0.01
Sep-12,0.022,0.014,0.007
Dec-12,0.061,0.014,0.047
Mar-13,0.017,0.014,0.004
Jun-13,0.025,0.013,0.012
Sep-13,0.017,0.014,0.004
Dec-13,0.046,0.013,0.032
Mar-14,0.014,0.013,0.002
Jun-14,0.014,0.013,0.001
Sep-14,0.014,0.013,0.001
Dec-14,0.027,0.013,0.014
Mar-15,0.011,0.012,-0.002
Jun-15,0.014,0.013,0.001
Sep-15,0.017,0.013,0.005
Dec-15,0.036,0.013,0.023
Mar-16,0.011,0.012,-0.001
Jun-16,0.014,0.012,0.002
Sep-16,0.012,0.012,-0.001
Dec-16,0.019,0.012,0.007
Mar-17,0.012,0.012,0
Jun-17,0.015,0.012,0.003
Sep-17,0.015,0.012,0.003
Dec-17,0.02,0.012,0.008
Mar-18,0.014,0.011,0.003
Jun-18,0.02,0.011,0.008
Sep-18,0.015,0.012,0.003
Dec-18,0.022,0.011,0.01
Mar-19,0.016,0.011,0.005
Jun-19,0.015,0.011,0.003
Sep-19,0.015,0.011,0.003
Dec-19,0.02,0.011,0.009
Mar-20,-0.003,0.011,-0.014
Jun-20,-0.017,0.01,-0.026
Sep-20,-0.004,0.01,-0.014
Dec-20,-0.017,0.009,-0.025
Mar-21,0.012,0.01,0.001
Jun-21,0.017,0.01,0.007
Sep-21,0.019,0.011,0.008
Dec-21,0.031,0.011,0.02
Mar-22,0.02,0.01,0.009
Jun-22,0.012,0.011,0.001
Sep-22,0.011,0.011,0
Dec-22,-0.029,0.011,-0.039
Mar-23,0.005,0.011,-0.006
Jun-23,0.006,0.012,-0.006
Sep-23,0.003,0.012,-0.009
