year,segment,total,income,growth
Mar-00,All,100,100,100
Mar-00,Retail,100,100,100
Mar-00,Office,100,100,100
Mar-00,Industrial,100,100,100
Mar-00,Residential,100,100,100
Mar-00,Calgary,100,100,100
Mar-00,Montreal,100,100,100
Mar-00,Toronto,100,100,100
Mar-00,Vancouver,100,100,100
Mar-00,Edmonton,100,100,100
Mar-00,Ottawa,100,100,100
Jun-00,All,100,100,100
Jun-00,Retail,100,100,100
Jun-00,Office,100,100,100
Jun-00,Industrial,100,100,100
Jun-00,Residential,100,100,100
Jun-00,Calgary,100,100,100
Jun-00,Montreal,100,100,100
Jun-00,Toronto,100,100,100
Jun-00,Vancouver,100,100,100
Jun-00,Edmonton,100,100,100
Jun-00,Ottawa,100,100,100
Sep-00,All,100,100,100
Sep-00,Retail,100,100,100
Sep-00,Office,100,100,100
Sep-00,Industrial,100,100,100
Sep-00,Residential,100,100,100
Sep-00,Calgary,100,100,100
Sep-00,Montreal,100,100,100
Sep-00,Toronto,100,100,100
Sep-00,Vancouver,100,100,100
Sep-00,Edmonton,100,100,100
Sep-00,Ottawa,100,100,100
Dec-00,All,111.9,108.7,102.9
Dec-00,Retail,110.8,108.8,101.8
Dec-00,Office,112.8,108.6,103.9
Dec-00,Industrial,113.6,109.4,103.9
Dec-00,Residential,110.3,107.9,102.2
Dec-00,Calgary,110.8,108.4,102.2
Dec-00,Montreal,115.5,109.9,105.1
Dec-00,Toronto,111.7,108.2,103.3
Dec-00,Vancouver,108.3,108.4,99.9
Dec-00,Edmonton,110,109.2,100.7
Dec-00,Ottawa,118.5,109.1,108.8
Mar-01,All,111.6370715,108.7,102.7
Mar-01,Retail,110.945252,108.9,101.9
Mar-01,Office,112.2228392,108.6,103.4
Mar-01,Industrial,113.1475863,109.4,103.5
Mar-01,Residential,109.8295276,107.7,102.0
Mar-01,Calgary,111.0575831,108.4,102.4
Mar-01,Montreal,114.8021684,109.7,104.7
Mar-01,Toronto,111.7799309,108.1,103.4
Mar-01,Vancouver,107.8482956,108.5,99.4
Mar-01,Edmonton,111.0879356,109.7,101.3
Mar-01,Ottawa,113.3030363,109.0,104.0
Jun-01,All,111.6,108.7,102.7
Jun-01,Retail,110.9,108.8,101.9
Jun-01,Office,112.2,108.5,103.4
Jun-01,Industrial,112.6,109.4,102.9
Jun-01,Residential,109.7,107.5,102.1
Jun-01,Calgary,111.0,108.3,102.5
Jun-01,Montreal,114.8,109.6,104.8
Jun-01,Toronto,111.7,108.0,103.4
Jun-01,Vancouver,107.6,108.6,99.2
Jun-01,Edmonton,111.3,110.0,101.3
Jun-01,Ottawa,114.0,109.3,104.4
Sep-01,All,110.3,108.7,101.5
Sep-01,Retail,108.4,108.8,99.6
Sep-01,Office,111.7,108.5,102.9
Sep-01,Industrial,112.4,109.5,102.7
Sep-01,Residential,110.0,107.4,102.4
Sep-01,Calgary,110.3,108.3,101.9
Sep-01,Montreal,113.3,109.4,103.5
Sep-01,Toronto,110.9,107.9,102.8
Sep-01,Vancouver,108.0,108.8,99.3
Sep-01,Edmonton,109.0,110.2,98.9
Sep-01,Ottawa,112.7,109.7,102.7
Dec-01,All,122.2,118.1,103.5
Dec-01,Retail,119.8,118.4,101.2
Dec-01,Office,123.4,117.8,104.8
Dec-01,Industrial,126.2,119.8,105.4
Dec-01,Residential,123.9,115.9,107.0
Dec-01,Calgary,119.9,117.4,102.2
Dec-01,Montreal,128.0,120.1,106.7
Dec-01,Toronto,122.8,116.7,105.2
Dec-01,Vancouver,116.0,117.9,98.4
Dec-01,Edmonton,122.9,119.8,102.6
Dec-01,Ottawa,132.5,119.6,110.8
Mar-02,All,121.9,118.2,103.1
Mar-02,Retail,120.2,118.6,101.4
Mar-02,Office,122.6,118.0,104.0
Mar-02,Industrial,125.5,119.9,104.7
Mar-02,Residential,123.7,115.8,106.9
Mar-02,Calgary,120.1,117.6,102.1
Mar-02,Montreal,127.2,119.9,106.1
Mar-02,Toronto,122.7,116.8,105.1
Mar-02,Vancouver,115.5,118.0,97.9
Mar-02,Edmonton,124.8,120.5,103.6
Mar-02,Ottawa,127.1,119.7,106.2
Jun-02,All,121.9,118.4,102.9
Jun-02,Retail,120.3,118.7,101.4
Jun-02,Office,122.5,118.2,103.7
Jun-02,Industrial,124.9,120.0,104.1
Jun-02,Residential,123.4,115.6,106.8
Jun-02,Calgary,119.9,117.8,101.9
Jun-02,Montreal,126.8,119.7,106.0
Jun-02,Toronto,122.6,116.9,104.9
Jun-02,Vancouver,115.6,118.3,97.7
Jun-02,Edmonton,125.3,121.1,103.5
Jun-02,Ottawa,127.0,120.3,105.6
Sep-02,All,120.5,118.5,101.8
Sep-02,Retail,118.3,118.8,99.6
Sep-02,Office,121.5,118.3,102.8
Sep-02,Industrial,124.5,120.1,103.7
Sep-02,Residential,123.1,115.5,106.7
Sep-02,Calgary,119.3,117.9,101.3
Sep-02,Montreal,124.7,119.4,104.5
Sep-02,Toronto,121.5,117.0,103.9
Sep-02,Vancouver,115.6,118.5,97.5
Sep-02,Edmonton,124.1,121.4,102.2
Sep-02,Ottawa,124.7,120.5,103.6
Dec-02,All,133.1,128.7,103.4
Dec-02,Retail,133.0,129.2,102.9
